First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Amanda,Reising,xp9aceap0@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Regina,Adams,xp9aceap1@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Sandra,Hoffman,xp9aceap2@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
William,Wood,xp9aceap3@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Nina,Mcadams,xp9aceap4@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Rosemary,Hutchison,xp9aceap5@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Kelly,Sinstack,xp9aceap6@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Whitney,Martinez,xp9aceap7@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Sharon,Rivera,xp9aceap8@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Marylouise,Williams,xp9aceap9@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Mary,Perry,xp9aceap10@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Vincent,Elmendorf,xp9aceap11@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Donald,Cloke,xp9aceap12@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Christopher,Smith,xp9aceap13@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Courtney,Feldman,xp9aceap14@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Geraldine,Cooper,xp9aceap15@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Michael,Reifsnyder,xp9aceap16@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Matthew,Carlson,xp9aceap17@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
